R/R,B/B,R/B,B/R,R+B/R,R+B/B,R+B/R+B
0.055851396173238754,0.02609156258404255,0.07609204202890396,0.1559421569108963,0.031443040817976,0.10156571865081787,0.03533601388335228
0.03146390616893768,0.021793244406580925,0.030811289325356483,0.06439673155546188,0.019460737705230713,0.14052200317382812,0.020594336092472076
0.020182941108942032,0.02037677727639675,0.024911336600780487,0.0466219000518322,0.01752213016152382,0.02176312543451786,0.01835481822490692
0.019996287301182747,0.018694506958127022,0.021490707993507385,0.04225991666316986,0.017757851630449295,0.019768867641687393,0.0181084256619215
0.018885405734181404,0.018662653863430023,0.020918866619467735,0.04157182574272156,0.016696156933903694,0.016996711492538452,0.017106084153056145
0.017660344019532204,0.01789860613644123,0.020898757502436638,0.03686901926994324,0.019697681069374084,0.017063498497009277,0.01779121346771717
0.018898893147706985,0.01951739564538002,0.02136234939098358,0.03653377294540405,0.018322506919503212,0.018929224461317062,0.017886368557810783
0.019566748291254044,0.02163201943039894,0.021240780130028725,0.037765223532915115,0.018297037109732628,0.017935825511813164,0.018250877037644386
0.015733106061816216,0.021458059549331665,0.022462354972958565,0.03691764548420906,0.018758809193968773,0.016788313165307045,0.0177944116294384
0.016671176999807358,0.022239508107304573,0.023920945823192596,0.013527690432965755,0.01901748776435852,0.018958091735839844,0.017375467345118523
